Gene,Achilles_common_essential (1912),Hart et al. [2017] core (684),Behan et al. [2019] pan-cancer (553),Hart et al. [2015] core (1580),A priori CEG set
DHDDS,1,0,1,1,3
DHFR2,1,0,0,0,1
DHPS,1,1,0,1,3
DHX15,1,1,1,1,4
DHX16,1,0,1,1,3
DHX33,1,1,0,1,3
DHX36,1,0,0,1,2
DHX37,1,1,1,1,4
DHX38,1,0,0,1,2
DHX8,1,1,1,1,4
DHX9,1,1,1,1,4
DICER1,1,0,0,1,2
DIMT1,1,1,0,1,3
DIS3,1,1,0,1,3
DKC1,1,1,0,1,3
DMAP1,1,1,0,1,3
DNAAF10,1,0,0,0,1
DNAJA1,1,0,0,1,2
DNAJA3,1,1,0,1,3
DNAJB6,1,0,0,0,1
DNAJC17,1,0,0,0,1
DNAJC8,1,0,0,0,1
DNAJC9,1,1,0,1,3
DNM1L,1,0,0,1,2
DNM2,1,1,0,1,3
DNMT1,1,1,0,1,3
DNTTIP2,1,0,0,1,2
DOHH,1,0,0,0,1
DONSON,1,1,0,1,3
DPAGT1,1,1,0,1,3
DPH3,1,0,0,0,1
DPPA3,1,0,0,0,1
DPY19L2,1,0,0,0,1
DPY30,1,0,0,0,1
DR1,1,0,0,1,2
DRAP1,1,0,0,1,2
DROSHA,1,0,0,1,2
DSN1,1,0,0,1,2
DTL,1,1,1,1,4
DTYMK,1,1,1,1,4
DUT,1,0,1,0,2
DUXA,1,0,0,0,1
DYNC1H1,1,0,1,1,3
DYNC1I2,1,1,1,0,3
DYNLL1,1,0,0,0,1
DYNLRB1,1,0,0,1,2
E2F6,1,0,0,0,1
EAPP,1,0,0,0,1
EBNA1BP2,1,0,0,1,2
ECD,1,1,1,1,4
ECT2,1,0,0,1,2
EEF1A1,1,0,1,0,2
EEF1B2,1,0,0,0,1
EEF1G,1,0,0,0,1
EEF2,1,1,1,1,4
EEF2KMT,1,0,0,0,1
EFL1,1,0,0,0,1
EFTUD2,1,1,1,1,4
EHMT2,1,0,0,0,1
EIF1,1,0,1,1,3
EIF1AD,1,0,0,1,2
EIF1AX,1,0,1,0,2
EIF2B1,1,1,0,1,3
EIF2B2,1,0,1,1,3
EIF2B3,1,1,1,1,4
EIF2B4,1,0,1,1,3
EIF2B5,1,1,1,1,4
EIF2S1,1,1,1,1,4
EIF2S2,1,1,1,0,3
EIF2S3,1,1,1,1,4
EIF3A,1,1,1,1,4
EIF3B,1,1,1,1,4
EIF3D,1,1,1,1,4
EIF3E,1,0,0,0,1
EIF3F,1,0,1,0,2
EIF3G,1,1,0,1,3
EIF3H,1,0,0,1,2
EIF3I,1,1,1,1,4
EIF3J,1,0,0,1,2
EIF3M,1,0,0,1,2
EIF4A1,1,0,0,1,2
EIF4A3,1,1,1,1,4
EIF4B,1,0,0,0,1
EIF4E,1,0,1,1,3
EIF4G1,1,0,0,1,2
EIF4G2,1,0,0,0,1
EIF5,1,0,1,1,3
EIF5A,1,1,0,0,2
EIF5AL1,1,0,0,0,1
EIF6,1,1,0,1,3
ELAC2,1,1,0,1,3
ELL,1,1,1,1,4
ELOB,1,0,0,0,1
ELOC,1,0,0,0,1
ELP1,1,0,0,0,1
ELP2,1,0,0,1,2
ELP3,1,0,0,1,2
ELP4,1,0,0,1,2
ELP5,1,0,0,1,2
ELP6,1,0,0,1,2
EMC1,1,0,0,1,2
EMC3,1,0,0,0,1
EMC7,1,0,0,0,1
ENSA,1,0,0,0,1
ENY2,1,0,0,0,1
EP400,1,0,0,0,1
EPOP,1,0,0,0,1
EPRS1,1,0,0,0,1
ERCC2,1,1,0,1,3
ERCC3,1,1,1,1,4
ERH,1,1,1,0,3
ESF1,1,0,0,1,2
ESPL1,1,0,1,1,3
ESRRA,1,0,0,0,1
ESS2,1,0,0,0,1
ETF1,1,0,0,1,2
EWSR1,1,0,0,1,2
EXOC1,1,0,0,1,2
EXOC3,1,0,0,1,2
EXOC4,1,0,0,1,2
EXOC5,1,0,0,0,1
EXOC8,1,0,0,0,1
EXOSC1,1,0,0,1,2
EXOSC10,1,0,0,1,2
EXOSC2,1,1,0,1,3
EXOSC3,1,1,1,1,4
EXOSC4,1,1,0,1,3
EXOSC5,1,0,0,1,2
EXOSC6,1,1,0,1,3
EXOSC7,1,1,1,1,4
EXOSC8,1,1,0,1,3
EXOSC9,1,0,0,1,2
FAAP20,1,0,0,0,1
FABP5,1,0,0,0,1
FAM104B,1,0,0,0,1
FAM133B,1,0,0,0,1
FAM136A,1,0,0,0,1
FAM168A,1,0,0,0,1
FAM32A,1,0,0,0,1
FAM91A1,1,0,0,0,1
FAR2,1,0,0,0,1
FARSA,1,1,1,1,4
FARSB,1,1,1,1,4
FAU,1,1,0,0,2
FBL,1,0,0,1,2
FBLIM1,1,0,0,0,1
FBXL6,1,0,0,0,1
FBXO5,1,0,1,0,2
FCF1,1,0,1,1,3
FDPS,1,0,0,0,1
FDX2,1,0,0,0,1
FDXR,1,0,0,0,1
FECH,1,0,0,0,1
FEN1,1,0,0,1,2
FIP1L1,1,0,0,1,2
FKBP1A,1,0,0,0,1
FNBP4,1,0,0,1,2
FNTA,1,1,0,0,2
FNTB,1,1,0,1,3
FOXD4,1,0,0,0,1
FPGS,1,0,0,0,1
FTSJ3,1,1,0,1,3
FXN,1,0,0,0,1
GABPA,1,1,0,0,2
GABPB1,1,0,0,0,1
GAK,1,0,0,1,2
GALP,1,0,0,0,1
GAPDH,1,1,0,0,2
GAR1,1,0,0,1,2
GARS1,1,0,0,0,1
GBF1,1,0,1,1,3
GCSH,1,0,0,0,1
GEMIN4,1,0,0,0,1
GEMIN5,1,1,0,1,3
GEMIN6,1,0,0,0,1
GEMIN7,1,0,0,0,1
GEMIN8,1,1,0,0,2
GET3,1,0,0,0,1
GFER,1,0,0,1,2
GFM1,1,1,0,1,3
GFPT1,1,0,0,0,1
GGPS1,1,1,0,1,3
GGT1,1,0,0,0,1
GGTLC2,1,0,0,0,1
GINS1,1,0,1,0,2
GINS2,1,1,1,1,4
GINS3,1,1,0,1,3
GINS4,1,1,0,1,3
GJA3,1,0,0,0,1
GLE1,1,0,0,1,2
GLRX5,1,0,0,1,2
GMPPB,1,1,0,1,3
GMPS,1,1,0,1,3
GNB1L,1,0,0,1,2
GNL2,1,0,0,1,2
GNL3,1,1,1,1,4
GNL3L,1,0,0,1,2
GON4L,1,0,0,1,2
GOSR2,1,0,0,1,2
GOT2,1,0,0,0,1
GPKOW,1,0,0,1,2
GPN1,1,0,1,1,3
GPN2,1,0,1,1,3
GPN3,1,1,0,1,3
GPR61,1,0,0,0,1
GPS1,1,1,0,1,3
GRPEL1,1,1,1,1,4
GRWD1,1,1,0,1,3
GSDMA,1,0,0,0,1
GSPT1,1,1,1,1,4
GTF2A1,1,0,0,1,2
GTF2A2,1,0,1,1,3
GTF2B,1,1,1,1,4
GTF2E1,1,0,1,1,3
GTF2E2,1,0,1,1,3
GTF2F1,1,0,0,0,1
GTF2F2,1,0,0,0,1
GTF2H1,1,1,0,0,2
GTF2H3,1,0,0,1,2
GTF2H4,1,1,0,1,3
GTF3A,1,1,0,0,2
GTF3C1,1,1,0,1,3
GTF3C2,1,1,0,1,3
GTF3C3,1,0,0,1,2
GTF3C4,1,0,0,1,2
GTF3C5,1,1,0,1,3
